id,login,password_hash,first_name,last_name,authority,email,phone_number,notes,organization_id,org_role,fourteen_plus,guardian_first_name,guardian_last_name,guardian_email,guardian_phone,school,grade_level,state_student_id,org_student_id,created_by,created_date,last_modified_by,last_modified_date
34,aprins,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Arlene,Prins,ROLE_STUDENT,null,(303) 300-7479,,3,null,0,Zoe,Prins,Zoe.Prins@icloud.com,(720) 013-8450,Bruce Randolph Middle School,EIGHTH,750931943,694816,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
35,cnicolay,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Charles,Nicolay,ROLE_STUDENT,cnicolay@icloud.com,(720) 954-6450,,3,null,1,Brent,Nicolay,nicolay5415@gmail.com,(303) 383-0010,East High School,TWELFTH,471690020,650730,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
36,gstevens,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,George,Stevens,ROLE_STUDENT,George.Stevens@gmail.com,(720) 259-3190,,3,null,1,Garfield,Stevens,stevens7279@yahoo.com,(303) 993-1819,Abraham Lincoln High School,NINTH,160022967,588267,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
37,dhogan,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,David,Hogan,ROLE_STUDENT,hogan1752@aol.com,(720) 843-1271,,3,null,1,David,Hogan,dhogan@sbcglobal.net,(303) 676-0885,George Washington High School,TWELFTH,225338909,144943,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
38,phendrickson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Phyllis,Hendrickson,ROLE_STUDENT,phendrickson@yahoo.com,(720) 237-8746,,3,null,1,Emile,Hendrickson,Emile.Hendrickson@sbcglobal.net,(303) 182-5849,Dr. Martin Luther King Jr. Early College High School,TENTH,945562581,823674,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
39,emiller,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Erica,Miller,ROLE_STUDENT,Erica.Miller@yahoo.com,(303) 673-0972,,3,null,1,Juan,Miller,Juan.Miller@yahoo.com,(720) 828-7896,Dr. Martin Luther King Jr. Early College High School,ELEVENTH,771896181,761067,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
40,kbrown,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Kathleen,Brown,ROLE_STUDENT,Kathleen.Brown@icloud.com,(720) 017-9862,,3,null,1,Neva,Brown,Neva.Brown@sbcglobal.net,(720) 314-9655,East High School,TENTH,850331167,730903,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
41,jjackson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,James,Jackson,ROLE_STUDENT,jjackson@gmail.com,(303) 940-1025,,3,null,1,Michael,Jackson,Michael.Jackson@sbcglobal.net,(720) 596-0846,Abraham Lincoln High School,NINTH,564908879,745752,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
42,cchang,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Carl,Chang,ROLE_STUDENT,Carl.Chang@sbcglobal.net,(720) 655-5970,,3,null,1,Johnathan,Chang,jchang@icloud.com,(720) 071-4356,Abraham Lincoln High School,NINTH,187065430,549780,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
43,jmorgante,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jasmine,Morgante,ROLE_STUDENT,jmorgante@gmail.com,(303) 994-4033,,3,null,1,Lester,Morgante,Lester.Morgante@yahoo.com,(303) 932-7033,John F. Kennedy High School,NINTH,084336848,079148,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
44,ljaus,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Luther,Jaus,ROLE_STUDENT,null,(303) 145-0193,,3,null,0,Mary,Jaus,jaus6687@gmail.com,(720) 490-1981,Skinner Middle School,SEVENTH,280268710,289606,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
45,crodriguez,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Cassandra,Rodriguez,ROLE_STUDENT,null,(303) 345-7862,,3,null,0,Jack,Rodriguez,Jack.Rodriguez@gmail.com,(303) 305-5009,Morey Middle School,SEVENTH,193516814,913167,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
46,mmurry,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Mark,Murry,ROLE_STUDENT,mmurry@gmail.com,(720) 093-6578,,3,null,1,Milton,Murry,mmurry@gmail.com,(720) 355-0537,Florence Crittenton High School,TENTH,017328953,121686,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
47,adudley,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Angela,Dudley,ROLE_STUDENT,Angela.Dudley@gmail.com,(303) 499-5558,,3,null,1,Rita,Dudley,Rita.Dudley@gmail.com,(720) 750-6315,East High School,ELEVENTH,154821953,671469,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
48,gmorrill,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Grace,Morrill,ROLE_STUDENT,null,(303) 646-4722,,3,null,0,Amy,Morrill,Amy.Morrill@gmail.com,(720) 993-7337,Skinner Middle School,SIXTH,687831846,218503,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
49,jpalone,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jeffrey,Palone,ROLE_STUDENT,null,(303) 666-2058,,3,null,0,James,Palone,James.Palone@gmail.com,(720) 806-3864,Merrill Middle School,EIGHTH,964873015,624936,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
50,jmace,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jesus,Mace,ROLE_STUDENT,null,(720) 213-4043,,3,null,0,Enrique,Mace,emace@yahoo.com,(720) 545-3655,Bruce Randolph Middle School,EIGHTH,912856466,891796,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
51,jsadar,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jennifer,Sadar,ROLE_STUDENT,null,(720) 980-2392,,3,null,0,James,Sadar,James.Sadar@gmail.com,(303) 007-9031,Merrill Middle School,SIXTH,780927644,488161,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
52,lwaddington,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Latisha,Waddington,ROLE_STUDENT,lwaddington@icloud.com,(720) 118-5111,,3,null,1,Katherine,Waddington,Katherine.Waddington@yahoo.com,(720) 667-2516,Florence Crittenton High School,TENTH,034280993,841212,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
53,tburgette,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Thomas,Burgette,ROLE_STUDENT,tburgette@sbcglobal.net,(720) 502-0787,,3,null,1,Bobby,Burgette,burgette5935@gmail.com,(303) 236-6876,Abraham Lincoln High School,TWELFTH,517978160,005629,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
54,pdobbins,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Pamela,Dobbins,ROLE_STUDENT,Pamela.Dobbins@gmail.com,(720) 272-4935,,3,null,1,Tracy,Dobbins,tdobbins@sbcglobal.net,(303) 862-8835,East High School,TENTH,974251171,087893,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
55,msutton,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Maria,Sutton,ROLE_STUDENT,sutton7490@outlook.com,(303) 815-3830,,3,null,1,Stella,Sutton,Stella.Sutton@icloud.com,(720) 504-4610,George Washington High School,ELEVENTH,646095426,578294,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
56,bdeller,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Beverly,Deller,ROLE_STUDENT,Beverly.Deller@gmail.com,(720) 831-5927,,3,null,1,John,Deller,jdeller@gmail.com,(303) 752-4974,Abraham Lincoln High School,TWELFTH,269666112,579699,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
57,mtownsend,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Michelle,Townsend,ROLE_STUDENT,mtownsend@gmail.com,(720) 559-2917,,3,null,1,Benjamin,Townsend,Benjamin.Townsend@yahoo.com,(303) 077-7629,Emily Griffith High School,TENTH,667286071,152340,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
58,lgravley,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Lacy,Gravley,ROLE_STUDENT,null,(303) 885-8595,,3,null,0,Florence,Gravley,fgravley@yahoo.com,(303) 146-4875,Vista Academy Middle School,EIGHTH,662683660,177120,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
59,jbelgrave,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,James,Belgrave,ROLE_STUDENT,null,(720) 281-3687,,3,null,0,Michelle,Belgrave,Michelle.Belgrave@gmail.com,(720) 774-7749,Skinner Middle School,SEVENTH,350126094,997450,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
60,achang,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Andrew,Chang,ROLE_STUDENT,Andrew.Chang@gmail.com,(303) 266-3946,,3,null,1,Michael,Chang,chang4131@outlook.com,(303) 227-1919,Dr. Martin Luther King Jr. Early College High School,NINTH,642330396,412902,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
61,prosales,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Patricia,Rosales,ROLE_STUDENT,Patricia.Rosales@yahoo.com,(303) 307-4273,,3,null,1,Dale,Rosales,drosales@gmail.com,(303) 160-2323,Bruce Randolph High School,ELEVENTH,092030913,673889,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
62,trobinson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Terrell,Robinson,ROLE_STUDENT,null,(303) 488-4924,,3,null,0,Mallory,Robinson,Mallory.Robinson@yahoo.com,(720) 359-4981,Summit Academy Middle School,SIXTH,866038793,487297,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
63,jnovotny,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jessica,Novotny,ROLE_STUDENT,Jessica.Novotny@gmail.com,(720) 076-7951,,3,null,1,Alvin,Novotny,Alvin.Novotny@yahoo.com,(303) 638-5585,Dr. Martin Luther King Jr. Early College High School,NINTH,068753452,693374,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
64,elee,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Eunice,Lee,ROLE_STUDENT,Eunice.Lee@sbcglobal.net,(303) 519-8493,,3,null,1,Carlos,Lee,Carlos.Lee@icloud.com,(303) 136-5149,Florence Crittenton High School,TENTH,697532624,875730,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
65,plebaron,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Pauline,Lebaron,ROLE_STUDENT,plebaron@gmail.com,(720) 267-7083,,3,null,1,Analisa,Lebaron,Analisa.Lebaron@gmail.com,(303) 887-8148,East High School,TENTH,644001216,697338,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
66,scintron,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Sarah,Cintron,ROLE_STUDENT,null,(303) 353-7826,,3,null,0,Beverly,Cintron,Beverly.Cintron@outlook.com,(720) 252-3617,Byers Middle School,SEVENTH,900062473,633232,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
67,ahoffman,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Anna,Hoffman,ROLE_STUDENT,Anna.Hoffman@icloud.com,(720) 547-4002,,3,null,1,Jules,Hoffman,jhoffman@yahoo.com,(720) 144-3377,Abraham Lincoln High School,TWELFTH,390520079,073707,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
